timestamp,latitude,longitude,heading
357560000,48.4921780173,-4.5038377392,161.2313503572
357580000,48.4921777086,-4.5038376392,161.2313503572
357600000,48.4921774,-4.5038375392,161.2313503572
357620000,48.4921770914,-4.5038374392,161.2313503572
357640000,48.4921767827,-4.5038373392,161.2313503572
357660000,48.4921764741,-4.5038372392,161.2313503572
357680000,48.4921761654,-4.5038371392,161.2313503572
357700000,48.4921758568,-4.5038370393,161.2313503572
357720000,48.4921755482,-4.5038369393,161.2313503572
357740000,48.4921752395,-4.5038368393,161.2313503572
357760000,48.4921749309,-4.5038367393,161.2313503572
357780000,48.4921746222,-4.5038366393,161.2313503572
357800000,48.4921743136,-4.5038365393,161.2313503572
357820000,48.492174005,-4.5038364393,161.2313503572
357840000,48.4921736963,-4.5038363394,161.2313503572
357860000,48.4921733877,-4.5038362394,161.2313503572
357880000,48.492173079,-4.5038361394,161.2313503572
357900000,48.4921727704,-4.5038360394,161.2313503572
357920000,48.4921724617,-4.5038359394,161.2313503572
357940000,48.4921721531,-4.5038358394,161.2313503572
357960000,48.4921718445,-4.5038357394,161.2313503572
357980000,48.4921715358,-4.5038356395,161.2313503572
358000000,48.4921712272,-4.5038355395,161.2313503572
358020000,48.4921709185,-4.5038354395,161.2313503572
358040000,48.4921706099,-4.5038353395,161.2313503572
358060000,48.4921703013,-4.5038352395,161.2313503572
358080000,48.4921699926,-4.5038351395,161.2313503572
358100000,48.492169684,-4.5038350396,161.2313503572
358120000,48.4921693753,-4.5038349396,161.2313503572
358140000,48.4921690667,-4.5038348396,161.2313503572
358160000,48.4921687581,-4.5038347396,161.2313503572
358180000,48.4921684494,-4.5038346396,161.2313503572
358200000,48.4921681408,-4.5038345396,161.2313503572
358220000,48.4921678321,-4.5038344396,161.2313503572
358240000,48.4921675235,-4.5038343397,161.2313503572
358260000,48.4921672149,-4.5038342397,161.2313503572
358280000,48.4921669062,-4.5038341397,161.2313503572
358300000,48.4921665976,-4.5038340397,161.2313503572
358320000,48.4921662889,-4.5038339397,161.2313503572
358340000,48.4921659803,-4.5038338397,161.2313503572
358360000,48.4921656716,-4.5038337397,161.2313503572
358380000,48.492165363,-4.5038336398,161.2313503572
358400000,48.4921650544,-4.5038335398,161.2313503572
358420000,48.4921647457,-4.5038334398,161.2313503572
358440000,48.4921644371,-4.5038333398,161.2313503572
358460000,48.4921641284,-4.5038332398,161.2313503572
358480000,48.4921638198,-4.5038331398,161.2313503572
358500000,48.4921635112,-4.5038330399,161.2313503572
358520000,48.4921632025,-4.5038329399,161.2313503572
358540000,48.4921628939,-4.5038328399,161.2313503572
358560000,48.4921625852,-4.5038327399,161.2313503572
358580000,48.4921622766,-4.5038326399,161.2313503572
358600000,48.492161968,-4.5038325399,161.2313503572
358620000,48.4921616593,-4.5038324399,161.2313503572
358640000,48.4921613507,-4.50383234,161.2313503572
358660000,48.492161042,-4.50383224,161.2313503572
358680000,48.4921607334,-4.50383214,161.2313503572
358700000,48.4921604247,-4.50383204,161.2313503572
358720000,48.4921601161,-4.50383194,161.2313503572
358740000,48.4921598075,-4.50383184,161.2313503572
358760000,48.4921594988,-4.50383174,161.2313503572
358780000,48.4921591902,-4.5038316401,161.2313503572
358800000,48.4921588815,-4.5038315401,161.2313503572
358820000,48.4921585729,-4.5038314401,161.2313503572
358840000,48.4921582643,-4.5038313401,161.2313503572
358860000,48.4921579556,-4.5038312401,161.2313503572
358880000,48.492157647,-4.5038311401,161.2313503572
358900000,48.4921573383,-4.5038310402,161.2313503572
358920000,48.4921570297,-4.5038309402,161.2313503572
358940000,48.4921567211,-4.5038308402,161.2313503572
358960000,48.4921564124,-4.5038307402,161.2313503572
358980000,48.4921561038,-4.5038306402,161.2313503572
359000000,48.4921557951,-4.5038305402,161.2313503572
359020000,48.4921554865,-4.5038304402,161.2313503572
359040000,48.4921551778,-4.5038303403,161.2313503572
359060000,48.4921548692,-4.5038302403,161.2313503572
359080000,48.4921545606,-4.5038301403,161.2313503572
359100000,48.4921542519,-4.5038300403,161.2313503572
359120000,48.4921539433,-4.5038299403,161.2313503572
359140000,48.4921536346,-4.5038298403,161.2313503572
359160000,48.492153326,-4.5038297403,161.2313503572
359180000,48.4921530174,-4.5038296404,161.2313503572
359200000,48.4921527087,-4.5038295404,161.2313503572
359220000,48.4921524001,-4.5038294404,161.2313503572
359240000,48.4921520914,-4.5038293404,161.2313503572
359260000,48.4921517828,-4.5038292404,161.2313503572
359280000,48.4921514742,-4.5038291404,161.2313503572
359300000,48.4921511655,-4.5038290405,161.2313503572
359320000,48.4921508569,-4.5038289405,161.2313503572
359340000,48.4921505482,-4.5038288405,161.2313503572
359360000,48.4921502396,-4.5038287405,161.2313503572
359380000,48.4921499309,-4.5038286405,161.2313503572
359400000,48.4921496223,-4.5038285405,161.2313503572
359420000,48.4921493137,-4.5038284405,161.2313503572
359440000,48.492149005,-4.5038283406,161.2313503572
359460000,48.4921486964,-4.5038282406,161.2313503572
359480000,48.4921483877,-4.5038281406,161.2313503572
359500000,48.4921480791,-4.5038280406,161.2313503572
359520000,48.4921477705,-4.5038279406,161.2313503572
359540000,48.4921474618,-4.5038278406,161.2313503572
359560000,48.4921471532,-4.5038277406,161.2313503572
359580000,48.4921468445,-4.5038276407,161.2313503572
359600000,48.4921465359,-4.5038275407,161.2313503572
359620000,48.4921462273,-4.5038274407,161.2313503572
359640000,48.4921459186,-4.5038273407,161.2313503572
359660000,48.49214561,-4.5038272407,161.2313503572
359680000,48.4921453013,-4.5038271407,161.2313503572
359700000,48.4921449927,-4.5038270407,161.2313503572
359720000,48.492144684,-4.5038269408,161.2313503572
359740000,48.4921443754,-4.5038268408,161.2313503572
359760000,48.4921440668,-4.5038267408,161.2313503572
359780000,48.4921437581,-4.5038266408,161.2313503572
359800000,48.4921434495,-4.5038265408,161.2313503572
359820000,48.4921431408,-4.5038264408,161.2313503572
359840000,48.4921428322,-4.5038263409,161.2313503572
359860000,48.4921425236,-4.5038262409,161.2313503572
359880000,48.4921422149,-4.5038261409,161.2313503572
359900000,48.4921419063,-4.5038260409,161.2313503572
359920000,48.4921415976,-4.5038259409,161.2313503572
359940000,48.492141289,-4.5038258409,161.2313503572
359960000,48.4921409804,-4.5038257409,161.2313503572
359980000,48.4921406717,-4.503825641,161.2313503572
360000000,48.4921403631,-4.503825541,161.2313503572
360020000,48.4921400544,-4.503825441,161.2313503572
360040000,48.4921397458,-4.503825341,161.2313503572
360060000,48.4921394371,-4.503825241,161.2313503572
360080000,48.4921391285,-4.503825141,161.2313503572
360100000,48.4921388199,-4.503825041,161.2313503572
360120000,48.4921385112,-4.5038249411,161.2313503572
360140000,48.4921382026,-4.5038248411,161.2313503572
360160000,48.4921378939,-4.5038247411,161.2313503572
360180000,48.4921375853,-4.5038246411,161.2313503572
360200000,48.4921372767,-4.5038245411,161.2313503572
360220000,48.492136968,-4.5038244411,161.2313503572
360240000,48.4921366594,-4.5038243412,161.2313503572
360260000,48.4921363507,-4.5038242412,161.2313503572
360280000,48.4921360421,-4.5038241412,161.2313503572
360300000,48.4921357335,-4.5038240412,161.2313503572
360320000,48.4921354248,-4.5038239412,161.2313503572
360340000,48.4921351162,-4.5038238412,161.2313503572
360360000,48.4921348075,-4.5038237412,161.2313503572
360380000,48.4921344989,-4.5038236413,161.2313503572
360400000,48.4921341902,-4.5038235413,161.2313503572
360420000,48.4921338816,-4.5038234413,161.2313503572
360440000,48.492133573,-4.5038233413,161.2313503572
360460000,48.4921332643,-4.5038232413,161.2313503572
360480000,48.4921329557,-4.5038231413,161.2313503572
360500000,48.492132647,-4.5038230413,161.2313503572
360520000,48.4921323384,-4.5038229414,161.2313503572
360540000,48.4921320298,-4.5038228414,161.2313503572
360560000,48.4921317211,-4.5038227414,161.2313503572
360580000,48.4921314125,-4.5038226414,161.2313503572
360600000,48.4921311038,-4.5038225414,161.2313503572
360620000,48.4921307952,-4.5038224414,161.2313503572
360640000,48.4921304866,-4.5038223415,161.2313503572
360660000,48.4921301779,-4.5038222415,161.2313503572
360680000,48.4921298693,-4.5038221415,161.2313503572
360700000,48.4921295606,-4.5038220415,161.2313503572
360720000,48.492129252,-4.5038219415,161.2313503572
360740000,48.4921289433,-4.5038218415,161.2313503572
360760000,48.4921286347,-4.5038217415,161.2313503572
360780000,48.4921283261,-4.5038216416,161.2313503572
360800000,48.4921280174,-4.5038215416,161.2313503572
360820000,48.4921277088,-4.5038214416,161.2313503572
360840000,48.4921274001,-4.5038213416,161.2313503572
360860000,48.4921270915,-4.5038212416,161.2313503572
360880000,48.4921267829,-4.5038211416,161.2313503572
360900000,48.4921264742,-4.5038210416,161.2313503572
360920000,48.4921261656,-4.5038209417,161.2313503572
360940000,48.4921258569,-4.5038208417,161.2313503572
360960000,48.4921255483,-4.5038207417,161.2313503572
360980000,48.4921252397,-4.5038206417,161.2313503572
361000000,48.492124931,-4.5038205417,161.2313503572
361020000,48.4921246224,-4.5038204417,161.2313503572
361040000,48.4921243137,-4.5038203418,161.2313503572
361060000,48.4921240051,-4.5038202418,161.2313503572
361080000,48.4921236965,-4.5038201418,161.2313503572
361100000,48.4921233878,-4.5038200418,161.2313503572
361120000,48.4921230792,-4.5038199418,161.2313503572
361140000,48.4921227705,-4.5038198418,161.2313503572
361160000,48.4921224619,-4.5038197418,161.2313503572
361180000,48.4921221532,-4.5038196419,161.2313503572
361200000,48.4921218446,-4.5038195419,161.2313503572
361220000,48.492121536,-4.5038194419,161.2313503572
361240000,48.4921212273,-4.5038193419,161.2313503572
361260000,48.4921209187,-4.5038192419,161.2313503572
361280000,48.49212061,-4.5038191419,161.2313503572
361300000,48.4921203014,-4.5038190419,161.2313503572
361320000,48.4921199928,-4.503818942,161.2313503572
361340000,48.4921196841,-4.503818842,161.2313503572
361360000,48.4921193755,-4.503818742,161.2313503572
361380000,48.4921190668,-4.503818642,161.2313503572
361400000,48.4921187582,-4.503818542,161.2313503572
361420000,48.4921184496,-4.503818442,161.2313503572
361440000,48.4921181409,-4.503818342,161.2313503572
361460000,48.4921178323,-4.5038182421,161.2313503572
361480000,48.4921175236,-4.5038181421,161.2313503572
361500000,48.492117215,-4.5038180421,161.2313503572
361520000,48.4921169063,-4.5038179421,161.2313503572
361540000,48.4921165977,-4.5038178421,161.2313503572
361560000,48.4921162891,-4.5038177421,161.2313503572
361580000,48.4921159804,-4.5038176422,161.2313503572
361600000,48.4921156718,-4.5038175422,161.2313503572
361620000,48.4921153631,-4.5038174422,161.2313503572
361640000,48.4921150545,-4.5038173422,161.2313503572
361660000,48.4921147459,-4.5038172422,161.2313503572
361680000,48.4921144372,-4.5038171422,161.2313503572
361700000,48.4921141286,-4.5038170422,161.2313503572
361720000,48.4921138199,-4.5038169423,161.2313503572
361740000,48.4921135113,-4.5038168423,161.2313503572
361760000,48.4921132027,-4.5038167423,161.2313503572
361780000,48.492112894,-4.5038166423,161.2313503572
361800000,48.4921125854,-4.5038165423,161.2313503572
361820000,48.4921122767,-4.5038164423,161.2313503572
361840000,48.4921119681,-4.5038163423,161.2313503572
361860000,48.4921116594,-4.5038162424,161.2313503572
361880000,48.4921113508,-4.5038161424,161.2313503572
361900000,48.4921110422,-4.5038160424,161.2313503572
361920000,48.4921107335,-4.5038159424,161.2313503572
361940000,48.4921104249,-4.5038158424,161.2313503572
361960000,48.4921101162,-4.5038157424,161.2313503572
361980000,48.4921098076,-4.5038156425,161.2313503572
362000000,48.492109499,-4.5038155425,161.2313503572
362020000,48.4921091903,-4.5038154425,161.2313503572
362040000,48.4921088817,-4.5038153425,161.2313503572
362060000,48.492108573,-4.5038152425,161.2313503572
362080000,48.4921082644,-4.5038151425,161.2313503572
362100000,48.4921079558,-4.5038150425,161.2313503572
362120000,48.4921076471,-4.5038149426,161.2313503572
362140000,48.4921073385,-4.5038148426,161.2313503572
362160000,48.4921070298,-4.5038147426,161.2313503572
362180000,48.4921067212,-4.5038146426,161.2313503572
362200000,48.4921064125,-4.5038145426,161.2313503572
362220000,48.4921061039,-4.5038144426,161.2313503572
362240000,48.4921057953,-4.5038143426,161.2313503572
362260000,48.4921054866,-4.5038142427,161.2313503572
362280000,48.492105178,-4.5038141427,161.2313503572
362300000,48.4921048693,-4.5038140427,161.2313503572
362320000,48.4921045607,-4.5038139427,161.2313503572
362340000,48.4921042521,-4.5038138427,161.2313503572
362360000,48.4921039434,-4.5038137427,161.2313503572
362380000,48.4921036348,-4.5038136428,161.2313503572
362400000,48.4921033261,-4.5038135428,161.2313503572
362420000,48.4921030175,-4.5038134428,161.2313503572
362440000,48.4921027089,-4.5038133428,161.2313503572
362460000,48.4921024002,-4.5038132428,161.2313503572
362480000,48.4921020916,-4.5038131428,161.2313503572
362500000,48.4921017829,-4.5038130428,161.2313503572
362520000,48.4921014743,-4.5038129429,161.2313503572
362540000,48.4921011656,-4.5038128429,161.2313503572
362560000,48.492100857,-4.5038127429,161.2313503572
362580000,48.4921005484,-4.5038126429,161.2313503572
362600000,48.4921002397,-4.5038125429,161.2313503572
362620000,48.4920999311,-4.5038124429,161.2313503572
362640000,48.4920996224,-4.5038123429,161.2313503572
362660000,48.4920993138,-4.503812243,161.2313503572
362680000,48.4920990052,-4.503812143,161.2313503572
362700000,48.4920986965,-4.503812043,161.2313503572
362720000,48.4920983879,-4.503811943,161.2313503572
362740000,48.4920980792,-4.503811843,161.2313503572
362760000,48.4920977706,-4.503811743,161.2313503572
362780000,48.492097462,-4.5038116431,161.2313503572
362800000,48.4920971533,-4.5038115431,161.2313503572
362820000,48.4920968447,-4.5038114431,161.2313503572
362840000,48.492096536,-4.5038113431,161.2313503572
362860000,48.4920962274,-4.5038112431,161.2313503572
362880000,48.4920959187,-4.5038111431,161.2313503572
362900000,48.4920956101,-4.5038110431,161.2313503572
362920000,48.4920953015,-4.5038109432,161.2313503572
362940000,48.4920949928,-4.5038108432,161.2313503572
362960000,48.4920946842,-4.5038107432,161.2313503572
362980000,48.4920943755,-4.5038106432,161.2313503572
363000000,48.4920940669,-4.5038105432,161.2313503572
363020000,48.4920937583,-4.5038104432,161.2313503572
363040000,48.4920934496,-4.5038103432,161.2313503572
363060000,48.492093141,-4.5038102433,161.2313503572
363080000,48.4920928323,-4.5038101433,161.2313503572
363100000,48.4920925237,-4.5038100433,161.2313503572
363120000,48.4920922151,-4.5038099433,161.2313503572
363140000,48.4920919064,-4.5038098433,161.2313503572
363160000,48.4920915978,-4.5038097433,161.2313503572
363180000,48.4920912891,-4.5038096433,161.2313503572
363200000,48.4920909805,-4.5038095434,161.2313503572
363220000,48.4920906718,-4.5038094434,161.2313503572
363240000,48.4920903632,-4.5038093434,161.2313503572
363260000,48.4920900546,-4.5038092434,161.2313503572
363280000,48.4920897459,-4.5038091434,161.2313503572
363300000,48.4920894373,-4.5038090434,161.2313503572
363320000,48.4920891286,-4.5038089435,161.2313503572
363340000,48.49208882,-4.5038088435,161.2313503572
363360000,48.4920885114,-4.5038087435,161.2313503572
363380000,48.4920882027,-4.5038086435,161.2313503572
363400000,48.4920878941,-4.5038085435,161.2313503572
363420000,48.4920875854,-4.5038084435,161.2313503572
363440000,48.4920872768,-4.5038083435,161.2313503572
363460000,48.4920869682,-4.5038082436,161.2313503572
363480000,48.4920866595,-4.5038081436,161.2313503572
363500000,48.4920863509,-4.5038080436,161.2313503572
363520000,48.4920860422,-4.5038079436,161.2313503572
363540000,48.4920857336,-4.5038078436,161.2313503572
363560000,48.4920854249,-4.5038077436,161.2313503572
363580000,48.4920851163,-4.5038076436,161.2313503572
